Textbox2,Textbox7
United States of America,© World Health Organization 2020

AH5_label,AH5_Chart01_CategoryGroup_label,AH5_Chart01_CategoryGroup_Chart01_CategoryGroup1_label,AH5_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup_Chart01_CategoryGroup1_Value_DataValue0
AH5,2005,1,,AH1,2,AH1N12009,,AH3,400,ANOTSUBTYPED,711,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,166
AH5,2005,2,,AH1,2,AH1N12009,,AH3,298,ANOTSUBTYPED,631,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,182
AH5,2005,3,,AH1,2,AH1N12009,,AH3,374,ANOTSUBTYPED,889,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,211
AH5,2005,4,,AH1,1,AH1N12009,,AH3,511,ANOTSUBTYPED,1045,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,306
AH5,2005,5,,AH1,0,AH1N12009,,AH3,686,ANOTSUBTYPED,1214,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,424
AH5,2005,6,,AH1,2,AH1N12009,,AH3,638,ANOTSUBTYPED,1451,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,478
AH5,2005,7,,AH1,2,AH1N12009,,AH3,688,ANOTSUBTYPED,1396,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,613
AH5,2005,8,,AH1,1,AH1N12009,,AH3,523,ANOTSUBTYPED,1133,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,617
AH5,2005,9,,AH1,0,AH1N12009,,AH3,227,ANOTSUBTYPED,949,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,518
AH5,2005,10,,AH1,0,AH1N12009,,AH3,161,ANOTSUBTYPED,633,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,415
