Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,13.890000,14.390000,13.725000,14.210000,14.210000,824300
2019-06-28,14.250000,14.440000,13.950000,14.100000,14.100000,1737800
2019-07-01,14.270000,14.630000,13.810000,14.250000,14.250000,558900
2019-07-02,14.240000,14.800000,14.160000,14.390000,14.390000,913200
2019-07-03,14.460000,14.470000,14.150000,14.290000,14.290000,327900
2019-07-05,14.210000,14.290000,13.920000,14.160000,14.160000,372400
2019-07-08,14.150000,14.270000,13.740000,14.220000,14.220000,599400
2019-07-09,14.360000,15.620000,14.250000,15.460000,15.460000,2659800
2019-07-10,15.800000,16.980000,15.698000,16.950001,16.950001,1909500
2019-07-11,16.950001,16.959999,16.090000,16.400000,16.400000,1061900
2019-07-12,16.559999,16.750000,16.370001,16.440001,16.440001,639300
2019-07-15,16.610001,16.930000,16.450001,16.620001,16.620001,511600
2019-07-16,16.670000,16.879999,16.629999,16.799999,16.799999,333900
2019-07-17,16.790001,17.271000,16.790001,16.900000,16.900000,635100
2019-07-18,16.840000,16.889999,16.520000,16.840000,16.840000,574500
2019-07-19,16.830000,17.010000,16.620001,16.670000,16.670000,386800
2019-07-22,16.700001,16.730000,16.410000,16.420000,16.420000,404700
2019-07-23,16.520000,16.610001,16.135000,16.139999,16.139999,680000
2019-07-24,16.100000,16.750000,16.097000,16.730000,16.730000,553900
2019-07-25,16.680000,17.021000,16.670000,16.830000,16.830000,529600
2019-07-26,17.000000,17.040001,16.690001,16.900000,16.900000,501200
2019-07-29,16.980000,17.299999,16.870001,17.090000,17.090000,523700
2019-07-30,17.129999,17.350000,16.900000,17.250000,17.250000,344100
2019-07-31,17.180000,17.290001,16.469999,16.590000,16.590000,417800
2019-08-01,16.730000,16.889999,15.950000,16.000000,16.000000,626700
2019-08-02,15.950000,16.120001,15.770000,16.020000,16.020000,658400
2019-08-05,15.900000,16.155001,15.400000,15.840000,15.840000,641900
2019-08-06,15.990000,16.690001,15.840000,16.670000,16.670000,534600
2019-08-07,16.420000,16.770000,16.120001,16.549999,16.549999,508600
2019-08-08,17.400000,18.610001,17.190001,17.309999,17.309999,2060100
2019-08-09,17.410000,17.666000,16.870001,17.240000,17.240000,636500
2019-08-12,16.980000,17.160000,16.500000,16.650000,16.650000,623200
2019-08-13,16.629999,17.240000,16.510000,16.799999,16.799999,464200
2019-08-14,16.709999,16.709999,16.330000,16.410000,16.410000,442100
2019-08-15,16.469999,16.665001,16.260000,16.410000,16.410000,306100
